year,origin,export_val,import_val,dest
1974,colombia,1703000.0,0.0,Japan
1974,colombia,9785000.0,0.0,Japan
1975,colombia,1173000.0,0.0,Japan
1975,colombia,14472000.0,0.0,Japan
1976,colombia,1996000.0,0.0,Japan
1976,colombia,34608000.0,0.0,Japan
1977,colombia,10256000.0,0.0,Japan
1977,colombia,85443000.0,0.0,Japan
1978,colombia,6863000.0,0.0,Japan
1978,colombia,45876000.0,0.0,Japan
1979,colombia,11712000.0,0.0,Japan
1979,colombia,78647000.0,0.0,Japan
1980,colombia,8457000.0,0.0,Japan
1980,colombia,100480000.0,0.0,Japan
1981,colombia,11576000.0,0.0,Japan
1981,colombia,69556000.0,0.0,Japan
1982,colombia,7383000.0,0.0,Japan
1982,colombia,74518000.0,0.0,Japan
1983,colombia,13109000.0,0.0,Japan
1983,colombia,78537000.0,0.0,Japan
1984,colombia,14534236.0,0.0,Japan
1984,colombia,82830893.0,0.0,Japan
1985,colombia,7729022.0,0.0,Japan
1985,colombia,88167428.0,0.0,Japan
1986,colombia,15260384.0,0.0,Japan
1986,colombia,163593567.0,0.0,Japan
1987,colombia,10086176.0,0.0,Japan
1987,colombia,101262640.0,0.0,Japan
1988,colombia,15328456.0,0.0,Japan
1988,colombia,114758328.0,0.0,Japan
1989,colombia,12880438.0,0.0,Japan
1989,colombia,108671853.0,0.0,Japan
1990,colombia,15357662.0,0.0,Japan
1990,colombia,102039109.0,0.0,Japan
1991,colombia,16307419.0,0.0,Japan
1991,colombia,88651058.0,0.0,Japan
1992,colombia,16572598.0,0.0,Japan
1992,colombia,77234340.0,0.0,Japan
1993,colombia,15373245.0,0.0,Japan
1993,colombia,87819209.0,0.0,Japan
1994,colombia,18941287.0,703.0,Japan
1994,colombia,193539874.0,1377.0,Japan
1995,colombia,30010585.0,0.0,Japan
1995,colombia,198464507.0,0.0,Japan
1996,colombia,32701064.0,1083.0,Japan
1996,colombia,192211168.0,0.0,Japan
1997,colombia,23857169.0,0.0,Japan
1997,colombia,199258894.0,0.0,Japan
1998,colombia,26308000.0,0.0,Japan
1998,colombia,221119000.0,0.0,Japan
1999,colombia,17352109.0,0.0,Japan
1999,colombia,157503089.0,0.0,Japan
2000,colombia,16670420.0,0.0,Japan
2000,colombia,161618049.0,0.0,Japan
2001,colombia,14696259.0,0.0,Japan
2001,colombia,106398864.0,0.0,Japan
2002,colombia,14723703.0,1330.0,Japan
2002,colombia,125226285.0,0.0,Japan
2003,colombia,11258647.0,0.0,Japan
2003,colombia,110762050.0,0.0,Japan
2004,colombia,12409979.0,0.0,Japan
2004,colombia,146380642.0,0.0,Japan
2005,colombia,13811304.0,869.0,Japan
2005,colombia,214747561.0,0.0,Japan
2006,colombia,14714938.0,246643.0,Japan
2006,colombia,203640828.0,23661.0,Japan
2007,colombia,12818588.0,0.0,Japan
2007,colombia,190278279.0,0.0,Japan
2008,colombia,16444077.0,0.0,Japan
2008,colombia,260960532.0,306.0,Japan
2009,colombia,16008867.0,0.0,Japan
2009,colombia,233268042.0,0.0,Japan
2010,colombia,14288203.0,0.0,Japan
2010,colombia,321990129.0,0.0,Japan
2011,colombia,15201263.0,15282.0,Japan
2011,colombia,350977667.0,0.0,Japan
2012,colombia,14184033.0,0.0,Japan
2012,colombia,214538787.0,0.0,Japan
2013,colombia,16756004.0,0.0,Japan
2013,colombia,226550360.0,0.0,Japan
2014,colombia,18493421.0,0.0,Japan
2014,colombia,236070662.0,0.0,Japan
2015,colombia,16018162.0,0.0,Japan
2015,colombia,273649720.0,0.0,Japan
2016,colombia,15049091.0,0.0,Japan
2016,colombia,242979609.0,0.0,Japan
2017,colombia,265242996.5,2634.0,Japan
1962,colombia,31000.0,0.0,Syria
1965,colombia,11000.0,0.0,Syria
1993,colombia,87675.0,0.0,Syria
1995,colombia,307728.0,0.0,Syria
1996,colombia,353500.0,0.0,Syria
