month,price_per_pound
Mar-87,105.77
Apr-87,109.55
May-87,119.30
Jun-87,107.12
Jul-87,101.90
Aug-87,104.19
Sep-87,112.52
Oct-87,123.84
Nov-87,130.10
Dec-87,130.40
Jan-88,131.54
Feb-88,142.96
Mar-88,141.70
Apr-88,141.88
May-88,142.86
Jun-88,150.14
Jul-88,148.37
Aug-88,136.67
Sep-88,141.73
Oct-88,140.10
Nov-88,142.34
Dec-88,154.94
Jan-89,164.31
Feb-89,150.76
Mar-89,150.19
Apr-89,153.03
May-89,151.14
Jun-89,132.72
Jul-89,96.16
Aug-89,82.72
Sep-89,84.18
Oct-89,74.78
Nov-89,76.27
Dec-89,77.54
Jan-90,81.62
Feb-90,87.54
Mar-90,99.66
Apr-90,100.07
May-90,98.53
Jun-90,95.69
Jul-90,91.68
Aug-90,99.92
Sep-90,102.04
Oct-90,98.03
Nov-90,91.11
Dec-90,95.17
Jan-91,91.53
Feb-91,92.47
Mar-91,97.31
Apr-91,96.26
May-91,92.34
Jun-91,90.25
Jul-91,89.07
Aug-91,87.48
Sep-91,95.14
Oct-91,86.86
Nov-91,86.75
Dec-91,84.10
Jan-92,80.75
Feb-92,73.01
Mar-92,74.94
Apr-92,71.96
May-92,66.60
Jun-92,65.47
Jul-92,63.09
Aug-92,56.60
Sep-92,57.08
Oct-92,64.82
Nov-92,71.52
Dec-92,82.21
Jan-93,72.47
Feb-93,69.21
Mar-93,69.06
Apr-93,63.39
May-93,69.30
Jun-93,71.00
Jul-93,79.25
Aug-93,84.85
Sep-93,87.88
Oct-93,83.79
Nov-93,85.07
Dec-93,86.58
Jan-94,86.22
Feb-94,92.00
Mar-94,92.66
Apr-94,94.56
May-94,128.71
Jun-94,150.16
Jul-94,227.27
Aug-94,210.91
Sep-94,231.88
Oct-94,209.24
Nov-94,188.33
Dec-94,175.38
Jan-95,179.48
Feb-95,175.23
Mar-95,187.67
Apr-95,182.61
May-95,182.71
Jun-95,181.00
Jul-95,169.47
Aug-95,163.25
Sep-95,145.41
Oct-95,134.94
Nov-95,133.02
Dec-95,114.34
Jan-96,117.01
Feb-96,136.06
Mar-96,130.52
Apr-96,133.78
May-96,143.19
Jun-96,132.42
Jul-96,136.03
Aug-96,137.68
Sep-96,125.18
Oct-96,126.99
Nov-96,132.75
Dec-96,126.17
Jan-97,144.82
Feb-97,184.66
Mar-97,212.75
