date,excelso_price_cents_per_pound
1971-03-01,48.01
1971-04-01,46.88
1971-05-01,48.19
1971-06-01,47.46
1971-07-01,47.03
1971-08-01,47.59
1971-09-01,45.75
1971-10-01,44.78
1971-11-01,45.81
1971-12-01,48.3
1972-01-01,46.93
1972-02-01,47.34
1972-03-01,48.23
1972-04-01,47.88
1972-05-01,49.06
1972-06-01,50.52
1972-07-01,58.07
1972-08-01,56.47
1972-09-01,55.01
1972-10-01,55.43
1972-11-01,55.79
1972-12-01,57.22
1973-01-01,59.97
1973-02-01,67.96
1973-03-01,66.38
1973-04-01,60.56
1973-05-01,66.19
1973-06-01,66.17
1973-07-01,63.54
1973-08-01,62.36
1973-09-01,62.2
1973-10-01,64.5
1973-11-01,65.19
1973-12-01,66.57
1974-01-01,71.42
1974-02-01,76.69
1974-03-01,73.46
1974-04-01,72.3
1974-05-01,73.02
1974-06-01,74.11
1974-07-01,71.08
1974-08-01,64.55
1974-09-01,56.61
1974-10-01,58.78
1974-11-01,61.28
1974-12-01,60.78
1975-01-01,57.84
1975-02-01,55.47
1975-03-01,52.05
1975-04-01,49.64
1975-05-01,52.85
1975-06-01,57.93
1975-07-01,67.67
1975-08-01,85.48
1975-09-01,82.88
1975-10-01,82.39
1975-11-01,79.52
1975-12-01,85.25
1976-01-01,94.85
1976-02-01,101.22
1976-03-01,101.6
1976-04-01,124.48
1976-05-01,137.46
1976-06-01,151.58
1976-07-01,139.24
1976-08-01,155.73
1976-09-01,161.36
1976-10-01,175.34
1976-11-01,184.99
1976-12-01,209.11
1977-01-01,220.96
1977-02-01,247.48
1977-03-01,306.17
1977-04-01,319.67
1977-05-01,287.26
1977-06-01,264.09
1977-07-01,223.52
1977-08-01,201.4
1977-09-01,192.05
1977-10-01,173.02
1977-11-01,199.55
1977-12-01,204.82
1978-01-01,208.16
1978-02-01,199.59
1978-03-01,177.1
1978-04-01,180.57
1978-05-01,171.63
1978-06-01,170.5
1978-07-01,135.8
1978-08-01,140.22
1978-09-01,157.33
1978-10-01,155.65
1978-11-01,148.16
1978-12-01,133.07
1979-01-01,130.59
1979-02-01,125.01
1979-03-01,132.31
1979-04-01,140.62
1979-05-01,151.79
1979-06-01,195.18
1979-07-01,205.66
1979-08-01,199.45
1979-09-01,209.2
1979-10-01,211.59
1979-11-01,208.62
1979-12-01,196.28
1980-01-01,170.67
1980-02-01,166.83
1980-03-01,186.38
1980-04-01,182.81
1980-05-01,192.54
1980-06-01,183.41
1980-07-01,157.67
1980-08-01,137.99
1980-09-01,127.88
1980-10-01,128.09
1980-11-01,116.86
1980-12-01,123.21
1981-01-01,129.98
1981-02-01,127.11
1981-03-01,127.93
1981-04-01,130.2
1981-05-01,127.92
1981-06-01,113.94
1981-07-01,122.01
1981-08-01,126.09
1981-09-01,128.02
1981-10-01,139.1
1981-11-01,146.26
1981-12-01,144.17
1982-01-01,146.18
1982-02-01,156.43
1982-03-01,148.04
1982-04-01,143.63
1982-05-01,139.59
1982-06-01,142.63
1982-07-01,135.51
1982-08-01,134.94
1982-09-01,138.27
1982-10-01,142.41
1982-11-01,140.12
1982-12-01,136.85
1983-01-01,131.96
1983-02-01,128.93
1983-03-01,127.04
1983-04-01,126.76
1983-05-01,130.47
1983-06-01,129.33
1983-07-01,130.34
1983-08-01,131.54
1983-09-01,134.31
1983-10-01,142.73
1983-11-01,146.55
1983-12-01,148.66
1984-01-01,145.71
1984-02-01,147.91
1984-03-01,150.32
1984-04-01,152.21
1984-05-01,152.25
1984-06-01,149.3
1984-07-01,146.11
1984-08-01,147.7
1984-09-01,144.23
1984-10-01,138.87
1984-11-01,142.21
1984-12-01,142.8
1985-01-01,147.39
1985-02-01,146.08
1985-03-01,143.88
1985-04-01,143.47
1985-05-01,144.69
